기준년도,노드id,노드위치,y좌표,x좌표,노드유형,노드명,위험운전행동회귀계수,교차로규모회귀계수,회귀확산도,교차로위험수준,교차로위험순위,교차로안전등급,교차로참조집단위험수준,권역교차로위험순위,20km이상과속카운트,40km이상과속카운트,60km이상과속카운트,장기과속카운트,급가속카운트,급출발카운트,급감속카운트,급정지카운트,급좌회전카운트,급우회전카운트,급유턴카운트,급앞지르기카운트,급진로변경카운트,공회전기준시간초과카운트,사고카운트
2018,1050033100,서울특별시 동대문구,205473.803,456157.7818,101,이문동우편취급소,0.424729206,0.57107048,0.560021374,-1.832064083,3121,A,1.832064083,17,282.1,7.8,0.5,0,874.9,125.7,117.6,17.3,635.6,136.4,101.2,324.6,763.3,2.4,
2018,1100022800,서울특별시 노원구,205479.5449,459157.3146,101,월계로-미들길진출로,0.424729206,0.57107048,0.560021374,-0.165154117,37719,B,1.165154117,118,54.4,1.4,0.3,0,751.1,97.7,110,24.3,4.7,156.4,1.3,36.9,39,0.8,1
2018,1050005900,서울특별시 동대문구,205479.643,455931.0649,101,이문동삼거리,0.424729206,0.57107048,0.560021374,2.379970762,75031,D,2.620029238,176,73.4,9.3,3.8,0,2302.1,446.4,73.9,31.7,792.5,163.5,112.6,356.3,730.5,3.3,5
2018,1070031500,서울특별시 성북구,205523.969,456820.1472,101,석관1동로터리,0.424729206,0.57107048,0.560021374,4.042956476,77326,D,2.957043524,229,21.5,0.5,0.1,0,2526,396.4,108.3,115.9,516.1,51,27.9,58.8,90.8,5.9,7
2018,1100038800,서울특별시 노원구,205551.8898,461684.191,101,한국통신상계,0.424729206,0.57107048,0.560021374,1.480660176,71889,C,2.519339824,194,78,17.4,4.3,0,2681.8,331.8,73.8,23.9,34.2,39.5,9.1,112.3,51.4,398.5,4
2018,1100045800,서울특별시 노원구,205595.487,462793.3413,101,상계9동사무소,0.424729206,0.57107048,0.560021374,0.102491875,58802,C,0.897508125,205,49.3,3.7,1.6,0,310.5,59.2,59.1,14.4,185.3,83.2,1,15.1,36.6,1.2,1
2018,1030027300,서울특별시 성동구,205610.643,451332.223,101,장한평역_천호대로_진출_2,0.424729206,0.57107048,0.560021374,-1.12625155,7812,A,1.12625155,38,48.2,4.3,0.2,0,461.6,81.8,171.3,29.3,17.6,11.5,3.2,20.3,199.7,29.4,
2018,1100006500,서울특별시 노원구,205611.1034,460091.4906,101,중계그린아파트,0.424729206,0.57107048,0.560021374,-0.045959908,53044,B,2.045959908,156,0.8,0,0,0,1318,233.3,22.9,20.7,149.3,80.6,29.5,137.2,70,14.9,2
2018,1030027900,서울특별시 성동구,205614.6745,451354.4253,101,장한평역_천호대로_진입_2,0.424729206,0.57107048,0.560021374,-1.733438355,3537,A,1.733438355,30,408.7,28.3,1.3,0,683.5,45.5,76.1,25.6,35.5,26.8,7.9,64.4,269.7,49.1,
2018,1100030100,서울특별시 노원구,205616.6279,460404.6471,101,중계그린아파트105동앞,0.424729206,0.57107048,0.560021374,-0.157057139,38597,A,0.157057139,2,3.4,0.3,0,0,22.2,2.8,0.8,2.8,0.7,0.3,0.2,0.6,0.3,3.3,
2018,1100020600,서울특별시 노원구,205630.7013,458854.9319,101,녹천초등학교,0.424729206,0.57107048,0.560021374,-0.900933666,10644,A,0.900933666,14,150.9,5.6,1.4,0,67.3,3.3,22,12.8,3.5,1.8,1.9,112,472.4,1.7,
2018,1100039900,서울특별시 노원구,205663.7605,461874.096,101,찬양치과의원,0.424729206,0.57107048,0.560021374,2.126456683,74453,D,1.873543317,286,5.2,0.3,0.1,0,766.8,107.7,33.5,7.3,384,578.3,65.6,199.3,529.8,57.3,4
